

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 314мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               311.610000                 -0.271260
1.645200               307.360000                 -0.472430
2.467700               303.190000                 -0.619260
3.290300               298.910000                 -0.797560
4.112900               294.850000                 -0.903800
4.935500               290.760000                 -1.103300
5.758000               286.740000                 -1.271200
6.580600               282.580000                 -1.408700
7.403200               278.670000                 -1.524300
8.225800               274.690000                 -1.577200
9.048300               270.500000                 -1.791900
9.870900               266.370000                 -1.969700
10.693500               262.460000                 -2.093900
11.516100               258.340000                 -2.210200
12.338600               254.590000                 -2.137400
13.161200               250.290000                 -2.333100
13.983800               246.240000                 -2.489300
14.806400               242.160000                 -2.484400
15.629000               238.090000                 -2.627800
16.451500               233.680000                 -2.693900
17.274100               229.370000                 -2.738700
18.096700               225.340000                 -2.833100
18.919300               221.350000                 -2.819600
19.741800               217.550000                 -2.813500
20.564400               213.370000                 -2.796700
21.387000               209.110000                 -2.849600
22.209600               205.260000                 -2.928800
23.032100               201.310000                 -2.998100
23.854700               196.990000                 -3.002300
24.677300               192.770000                 -2.913300
25.499900               188.370000                 -2.845900
26.322400               184.690000                 -2.908900
27.145000               180.590000                 -2.719300
27.967600               176.630000                 -2.886200
28.790200               172.350000                 -2.964000
29.612700               168.220000                 -2.942600
30.435300               164.100000                 -2.878900
31.257900               160.100000                 -2.903700
32.080500               155.630000                 -2.832100
32.903100               151.490000                 -2.916300
33.725600               147.240000                 -2.906700
34.548200               143.360000                 -3.049500
35.370800               139.490000                 -2.907400
36.193400               135.240000                 -2.806600
37.015900               131.240000                 -2.901300
37.838500               127.200000                 -3.049800
38.661100               123.010000                 -3.004300
39.483700               118.990000                 -2.849600
40.306200               114.660000                 -2.947700
41.128800               110.540000                 -2.985400
41.951400               106.510000                 -2.834800
42.774000               102.650000                 -2.687500
43.596500               98.432000                 -3.043900
44.419100               94.197000                 -2.828900
45.241700               90.133000                 -2.765500
46.064300               86.099000                 -2.991500
46.886900               81.945000                 -3.021300
47.709400               77.682000                 -3.145700
48.532000               73.316000                 -2.970100
49.354600               69.573000                 -2.773900
50.177200               65.463000                 -2.919900
50.999700               61.410000                 -2.872200
51.822300               57.365000                 -2.993700
52.644900               53.264000                 -2.843700
53.467500               49.036000                 -2.835100
54.290000               44.907000                 -2.778800
55.112600               40.938000                 -3.032300
55.935200               36.557000                 -2.888000
56.757800               32.461000                 -2.987600
57.580300               28.593000                 -3.035500
58.402900               24.439000                 -2.717300
59.225500               20.350000                 -2.894600
60.048100               16.194000                 -3.095100
60.870600               12.243000                 -2.913500
61.693200               7.938600                 -2.936400
62.515800               3.805400                 -3.057200
63.338400               -0.230910                 -2.976300
64.161000               -4.479600                 -2.826000
64.983500               -8.622100                 -2.934700
65.806100               -12.973000                 -3.102400
66.628700               -16.898000                 -3.121400
67.451300               -21.027000                 -2.985100
68.273800               -25.137000                 -3.028200
69.096400               -29.235000                 -2.901000
69.919000               -33.387000                 -3.052500
70.741600               -37.488000                 -3.053700
71.564100               -41.270000                 -3.133400
72.386700               -45.586000                 -3.088400
73.209300               -49.708000                 -2.985100
74.031900               -53.897000                 -3.104600
74.854400               -57.903000                 -3.044400
75.677000               -62.135000                 -3.041400
76.499600               -66.153000                 -3.036000
77.322200               -70.199000                 -2.986300
78.144800               -74.226000                 -2.994900
78.967300               -78.112000                 -3.001300
