

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 336,24мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               333.650000                 -0.319710
1.645200               329.560000                 -0.535390
2.467700               325.540000                 -0.717870
3.290300               321.760000                 -0.885110
4.112900               317.720000                 -1.060500
4.935500               313.510000                 -1.268800
5.758000               309.270000                 -1.501400
6.580600               305.090000                 -1.786700
7.403200               300.820000                 -2.062100
8.225800               296.740000                 -2.403500
9.048300               292.870000                 -2.695900
9.870900               288.740000                 -2.941300
10.693500               284.690000                 -3.356200
11.516100               280.790000                 -3.524900
12.338600               276.930000                 -3.667300
13.161200               272.360000                 -4.261300
13.983800               268.130000                 -4.389600
14.806400               264.100000                 -4.796600
15.629000               259.930000                 -5.078700
16.451500               256.160000                 -4.911700
17.274100               251.960000                 -5.022400
18.096700               247.910000                 -5.082900
18.919300               244.040000                 -5.101800
19.741800               239.670000                 -5.182300
20.564400               235.680000                 -5.678100
21.387000               231.260000                 -5.635500
22.209600               226.960000                 -5.782600
23.032100               223.270000                 -5.776700
23.854700               219.140000                 -5.313300
24.677300               215.200000                 -5.403600
25.499900               211.080000                 -5.823400
26.322400               206.990000                 -5.748400
27.145000               202.930000                 -5.511300
27.967600               198.760000                 -5.940700
28.790200               194.380000                 -6.038400
29.612700               190.170000                 -5.635000
30.435300               186.300000                 -6.073500
31.257900               182.340000                 -6.069300
32.080500               178.380000                 -6.106000
32.903100               173.960000                 -5.879000
33.725600               169.910000                 -5.984300
34.548200               165.950000                 -5.578200
35.370800               161.790000                 -5.498800
36.193400               157.410000                 -5.578500
37.015900               152.980000                 -5.878000
37.838500               148.890000                 -6.069800
38.661100               144.900000                 -6.503900
39.483700               141.380000                 -6.124900
40.306200               137.070000                 -6.339100
41.128800               133.060000                 -6.017900
41.951400               128.920000                 -6.211500
42.774000               124.840000                 -5.951800
43.596500               120.430000                 -6.164300
44.419100               116.380000                 -5.777700
45.241700               112.110000                 -5.708300
46.064300               108.410000                 -5.808200
46.886900               104.330000                 -5.538900
47.709400               100.250000                 -5.881700
48.532000               95.894000                 -6.009300
49.354600               91.999000                 -5.648300
50.177200               87.792000                 -5.646800
50.999700               83.520000                 -6.254000
51.822300               79.324000                 -5.912700
52.644900               75.018000                 -5.584900
53.467500               71.041000                 -5.312100
54.290000               67.222000                 -5.665300
55.112600               63.138000                 -5.634300
55.935200               59.034000                 -5.662800
56.757800               54.785000                 -5.938500
57.580300               50.862000                 -5.853900
58.402900               46.727000                 -6.184400
59.225500               42.496000                 -6.316700
60.048100               38.280000                 -5.983000
60.870600               34.140000                 -6.305400
61.693200               30.307000                 -6.302200
62.515800               26.174000                 -6.586500
63.338400               21.939000                 -6.295600
64.161000               17.644000                 -6.441400
64.983500               13.570000                 -6.299800
65.806100               9.605800                 -6.113900
66.628700               5.410200                 -6.390800
67.451300               1.140700                 -6.265600
68.273800               -2.999500                 -6.099400
69.096400               -7.167400                 -6.205300
69.919000               -11.331000                 -6.145300
70.741600               -15.254000                 -6.246400
71.564100               -19.447000                 -6.114100
72.386700               -23.410000                 -6.255500
73.209300               -27.656000                 -5.899900
74.031900               -31.748000                 -6.102100
74.854400               -35.752000                 -5.823200
75.677000               -39.656000                 -6.251300
76.499600               -43.852000                 -6.651000
77.322200               -48.013000                 -6.377300
78.144800               -52.056000                 -6.373100
78.967300               -56.289000                 -5.914900
