 ,X,Y,Circ.,AR,Round,Solidity
1,633.500,689.167,0.000,0.000,0.000,NaN
2,697.500,731.833,0.000,0.000,0.000,NaN
3,759.500,765.167,0.000,0.000,0.000,NaN
4,830.167,795.833,0.000,0.000,0.000,NaN
5,914.500,818.833,0.000,0.000,0.000,NaN
6,1002.500,826.167,0.000,0.000,0.000,NaN
7,1077.833,822.833,0.000,0.000,0.000,NaN
8,1152.833,811.500,0.000,0.000,0.000,NaN
9,1234.500,788.833,0.000,0.000,0.000,NaN
10,1308.500,761.500,0.000,0.000,0.000,NaN
11,1374.167,725.833,0.000,0.000,0.000,NaN
12,1430.167,681.833,0.000,0.000,0.000,NaN
